aOntology	is subclass of	what has status of only xsd:string
usesOntology	has domain in	Project
OntologyEngineeringTool	is subclass of	what has description of only xsd:string
GeneralPublicLicense_GPL	is an instance of	LicenseModel
ViewGenerationEngine	is subclass of	what has acronym of at most one rdfs:Literal
numberOfAxioms	has domain in	aOntology
Jena-ARQ	supportd	view definition language ARQ-Language
OntologyType	is subclass of	what is definedBy of only Party
One_to_one_mapping	is subclass of	rdfs:Resource
ViewDefinitionLanguage	is subclass of	what has acronym of only xsd:string
aOntology	is subclass of	what isVersionOfVirtualOntology of exactly one owl:Thing
hasCreator	has domain in	aOntology
context	range in	rdfs:Literal
isManual	range in	xsd:boolean
Location	is subclass of	what has city of at most one rdfs:Literal
VirtualView	is subclass of	VirtualOntology
aOntology	is subclass of	what has numberOfClasses of exactly one rdfs:Literal
virtualViewOf	has domain in	VirtualView
version	range in	xsd:string
aOntology	is subclass of	what isOfType of only OntologyType
Organisation	is subclass of	what has name of exactly one rdfs:Literal
aOntology	is subclass of	what has URI of exactly one rdfs:Literal
OntologyEngineeringMethodology	is subclass of	what has description of only xsd:string
Mapping_Metadata	is subclass of	rdfs:Resource
developedBy	has domain in	OntologyEngineeringMethodology or OntologyEngineeringTool or OntologyLanguage or OntologySyntax
classesWithNoAuthor	has domain in	aOntology
viewDefinition	range in	xsd:string
Jena-ARQ	supportd	view definition language  RDQL
aOntology	is subclass of	owl:Thing
Protege-Frames	is an instance of	OntologyLanguage
aOntology	is subclass of	what isConsistentAccordingToReasoner of only xsd:boolean
ViewDefinitionLanguage	is subclass of	owl:Thing
OntologyLanguage	is subclass of	owl:Thing
Organisation	is subclass of	what has acronym of exactly one rdfs:Literal
Individual_Added	is subclass of	Individual_Change
maximumNumberOfSiblings	range in	xsd:int
Subclass_Added	is subclass of	Class_Change
Ontology_Component	is subclass of	AnnotatableThing
AcademicFreeLicense_AFL	is an instance of	LicenseModel
aOntology	is subclass of	what has creationDate of exactly one rdfs:Literal
propertyWithUniqueValue	has domain in	aOntology
OntologyDomain	is subclass of	what has oboFoundryName of at most one rdfs:Literal
SPARQL	is supported by	view generation engine Jena-ARQ
SPARQL	is an instance of	ViewDefinitionLanguage
LicenseModel	is subclass of	what has acronym of only xsd:string
aOntology	is subclass of	what has creationDate of only xsd:string
oboFoundryID	range in	xsd:string
LicenseModel	is subclass of	what is specifiedBy of only Party
Authority_Manual	is subclass of	Authority
SPARQL	is supported by	view generation engine Pellet
maximumNumberOfSiblings	has domain in	aOntology
averageNumberOfSiblings	has domain in	aOntology
aOntology	is subclass of	what is administeredBy of at least one owl:Thing
OntologyEngineeringMethodology	is subclass of	what has documentation of only xsd:string
aOntology	is subclass of	what hasContactEmail of at most one rdfs:Literal
numberOfClasses	range in	xsd:integer
containsTBox	has domain in	aOntology
Superclass_Removed	is subclass of	Class_Change
Superclass_Added	is subclass of	Class_Change
Ontology_Property	is subclass of	Ontology_Component
AnnotationTask	is an instance of	OntologyTask
