alternative encode
UOBM35  ALBERT 

cosine

Method 1 K1  score: 4038.0999430343945
Method 1 K2  score: 4037.8471016169165
Method 1 K3  score: 4038.432928773829
Method 1 K4  score: 4037.310958443446
Method 1 K5  score: 4037.7062310184397
Method 1 K6  score: 4037.4533896009616
Method 1 K7  score: 4038.1929040403434
Method 1 K8  score: 4037.2456741007154
Method 1 K9  score: 4038.497684287223
Method 1 K10  score: 4038.573270542969
Method 1 K11  score: 4038.6559296359023
Method 1 K12  score: 4038.6559296359023
Method 1 K13  score: 4038.2729922290987
Method 1 K14  score: 4038.2729922290987
Method 1 K15  score: 4038.431237577778
Method 1 K16  score: 4037.8124353113744
Method 2 K1  score: 4448.63533753192
Method 2 K2  score: 4444.32174380209
Method 2 K3  score: 4075.2338241031757
Method 2 K4  score: 4570.430278109052
Method 2 K5  score: 4574.6519875153435
Method 2 K6  score: 4570.338393785515
Method 2 K7  score: 4447.943337013257
Method 2 K8  score: 4570.180667883692
Method 2 K9  score: 4575.595033188065
Method 2 K10  score: 4445.015179249451
Method 2 K11  score: 4575.152642894764
Method 2 K12  score: 4575.152642894764
Method 2 K13  score: 4574.882651490461
Method 2 K14  score: 4574.882651490461
Method 2 K15  score: 4574.44026119716
Method 2 K16  score: 4570.411331858809


euclid

Method 1 K1  score: 3650.5936697453653
Method 1 K2  score: 3650.444307138756
Method 1 K3  score: 3650.483245698826
Method 1 K4  score: 3650.7872348442634
Method 1 K5  score: 3650.978428700624
Method 1 K6  score: 3650.8290660940147
Method 1 K7  score: 3650.5404647224586
Method 1 K8  score: 3650.777130134801
Method 1 K9  score: 3651.3895448236326
Method 1 K10  score: 3650.845318552304
Method 1 K11  score: 3651.346444510188
Method 1 K12  score: 3651.346444510188
Method 1 K13  score: 3651.0629215025565
Method 1 K14  score: 3651.0629215025565
Method 1 K15  score: 3651.019821189111
Method 1 K16  score: 3650.8616229367335
Method 2 K1  score: 4183.609393230502
Method 2 K2  score: 4179.875467577709
Method 2 K3  score: 3829.9637313412272
Method 2 K4  score: 4300.716973842867
Method 2 K5  score: 4304.266974704891
Method 2 K6  score: 4300.533049052099
Method 2 K7  score: 4182.100001368385
Method 2 K8  score: 4299.811832856085
Method 2 K9  score: 4306.167421451068
Method 2 K10  score: 4180.870773337104
Method 2 K11  score: 4305.563170575733
Method 2 K12  score: 4305.563170575733
Method 2 K13  score: 4304.794394506468
Method 2 K14  score: 4304.794394506468
Method 2 K15  score: 4304.190143631134
Method 2 K16  score: 4300.339252657662
