alternative  encode experiment

UOBM37  ALBERT

cosine

Method 1 K1  score: 28098.72006852018
Method 1 K2  score: 28097.066289372924
Method 1 K3  score: 28100.01456497379
Method 1 K4  score: 28095.54349505707
Method 1 K5  score: 28098.262402618577
Method 1 K6  score: 28096.608623471322
Method 1 K7  score: 28099.556899072188
Method 1 K8  score: 28095.08582915547
Method 1 K9  score: 28462.99585290869
Method 1 K10  score: 28461.342073761436
Method 1 K11  score: 28464.2903493623
Method 1 K12  score: 28459.819279445583
Method 1 K13  score: 28102.45137994434
Method 1 K14  score: 28100.797600797086
Method 1 K15  score: 28103.745876397952
Method 1 K16  score: 28099.274806481233
Method 1 K17  score: 28095.517318499995
Method 1 K18  score: 28093.86353935274
Method 1 K19  score: 28096.811814953606
Method 1 K20  score: 28092.340745036887
Method 1 K21  score: 28095.41405999653
Method 1 K22  score: 28093.760280849274
Method 1 K23  score: 28096.70855645014
Method 1 K24  score: 28092.23748653342
Method 1 K25  score: 28095.059652598393
Method 1 K26  score: 28093.405873451138
Method 1 K27  score: 28271.8350997175
Method 1 K28  score: 28091.883079135285
Method 1 K29  score: 28099.248629924157
Method 1 K30  score: 28273.357894033354
Method 1 K31  score: 28100.54312637777
Method 1 K32  score: 28096.07205646105
Method 1 K33  score: 28094.956394094927
Method 1 K34  score: 28093.302614947672
Method 1 K35  score: 28096.250890548537
Method 1 K36  score: 28091.77982063182
Method 1 K37  score: 28099.14537142069
Method 1 K38  score: 28097.491592273436
Method 1 K39  score: 28100.439867874302
Method 1 K40  score: 28095.968797957583
Method 1 K41  score: 28098.208517100225
Method 1 K42  score: 28096.55473795297
Method 1 K43  score: 28099.503013553836
Method 1 K44  score: 28095.031943637117
Method 1 K45  score: 28097.750851198623
Method 1 K46  score: 28096.09707205137
Method 1 K47  score: 28099.045347652234
Method 1 K48  score: 28094.574277735515
Method 1 K49  score: 28101.939828524388
Method 1 K50  score: 28100.286049377133
Method 1 K51  score: 28103.234324978
Method 1 K52  score: 28098.76325506128
Method 1 K53  score: 28101.537037681792
Method 1 K54  score: 28099.883258534537
Method 1 K55  score: 28102.831534135403
Method 1 K56  score: 28098.360464218684
Method 1 K57  score: 28101.07937178019
Method 1 K58  score: 28099.425592632935
Method 1 K59  score: 28102.3738682338
Method 1 K60  score: 28097.90279831708
Method 1 K61  score: 28105.268349105954
Method 1 K62  score: 28103.6145699587
Method 1 K63  score: 28106.562845559565
Method 1 K64  score: 28102.091775642846
Method 1 K65  score: 28095.00576708004
Method 1 K66  score: 28093.351987932787
Method 1 K67  score: 28096.300263533652
Method 1 K68  score: 28091.829193616933
Method 1 K69  score: 28094.902508576575
Method 1 K70  score: 28093.24872942932
Method 1 K71  score: 28096.197005030186
Method 1 K72  score: 28091.725935113467
Method 1 K73  score: 28094.54810117844
Method 1 K74  score: 28092.894322031185
Method 1 K75  score: 28095.84259763205
Method 1 K76  score: 28091.37152771533
Method 1 K77  score: 28098.737078504204
Method 1 K78  score: 28097.08329935695
Method 1 K79  score: 28100.031574957815
Method 1 K80  score: 28095.560505041096
Method 1 K81  score: 28094.444842674973
Method 1 K82  score: 28092.79106352772
Method 1 K83  score: 28095.739339128584
Method 1 K84  score: 28091.268269211865
Method 1 K85  score: 28098.633820000738
Method 1 K86  score: 28096.980040853483
Method 1 K87  score: 28099.92831645435
