alternative  encode
UOBM38  ALBERT

cosine

Method 1 K1  score: 28276.25632736953
Method 1 K2  score: 28274.626100822894
Method 1 K3  score: 28277.608811837134
Method 1 K4  score: 28273.150745695028
Method 1 K5  score: 28275.829067714447
Method 1 K6  score: 28274.19884116781
Method 1 K7  score: 28277.18155218205
Method 1 K8  score: 28272.723486039944
Method 1 K9  score: 28641.632408801725
Method 1 K10  score: 28640.002182255088
Method 1 K11  score: 28642.984893269328
Method 1 K12  score: 28814.26470409318
Method 1 K13  score: 28279.983251565085
Method 1 K14  score: 28278.353025018452
Method 1 K15  score: 28281.33573603269
Method 1 K16  score: 28276.877669890586
Method 1 K17  score: 28276.877669890586
Method 1 K18  score: 28271.581811200544
Method 1 K19  score: 28274.564522214783
Method 1 K20  score: 28270.10645607268
Method 1 K21  score: 28273.175963399644
Method 1 K22  score: 28271.545736853008
Method 1 K23  score: 28274.528447867247
Method 1 K24  score: 28270.07038172514
Method 1 K25  score: 28272.784778092097
Method 1 K26  score: 28271.15455154546
Method 1 K27  score: 28274.1372625597
Method 1 K28  score: 28269.679196417597
Method 1 K29  score: 28276.93896194274
Method 1 K30  score: 28275.308735396102
Method 1 K31  score: 28278.29144641034
Method 1 K32  score: 28273.83338026824
Method 1 K33  score: 28272.74870374456
Method 1 K34  score: 28271.118477197924
Method 1 K35  score: 28274.101188212164
Method 1 K36  score: 28269.643122070058
Method 1 K37  score: 28276.9028875952
Method 1 K38  score: 28275.272661048566
Method 1 K39  score: 28278.255372062806
Method 1 K40  score: 28273.7973059207
Method 1 K41  score: 28275.763169118258
Method 1 K42  score: 28274.13294257162
Method 1 K43  score: 28277.11565358586
Method 1 K44  score: 28275.623168899438
Method 1 K45  score: 28275.335909463174
Method 1 K46  score: 28273.70568291654
Method 1 K47  score: 28276.688393930777
Method 1 K48  score: 28272.230327788675
Method 1 K49  score: 28279.490093313816
Method 1 K50  score: 28277.85986676718
Method 1 K51  score: 28280.84257778142
Method 1 K52  score: 28276.384511639317
Method 1 K53  score: 28279.082705139066
Method 1 K54  score: 28277.45247859243
Method 1 K55  score: 28280.43518960667
Method 1 K56  score: 28275.977123464563
Method 1 K57  score: 28278.655445483982
Method 1 K58  score: 28278.655445483982
Method 1 K59  score: 28280.007929951586
