alternative  encoding
UOBM37  CoSENT

cosine

Method 1 K1  score: 27331.3828125
Method 1 K2  score: 27328.9375
Method 1 K3  score: 27326.5
Method 1 K4  score: 27330.130859375
Method 1 K5  score: 27330.83203125
Method 1 K6  score: 27328.38671875
Method 1 K7  score: 27325.94921875
Method 1 K8  score: 27329.580078125
Method 1 K9  score: 27679.85546875
Method 1 K10  score: 27677.41015625
Method 1 K11  score: 27674.97265625
Method 1 K12  score: 27678.603515625
Method 1 K13  score: 27333.615234375
Method 1 K14  score: 27331.169921875
Method 1 K15  score: 27328.732421875
Method 1 K16  score: 27332.36328125
Method 1 K17  score: 27329.9921875
Method 1 K18  score: 27327.546875
Method 1 K19  score: 27325.109375
Method 1 K20  score: 27328.740234375
Method 1 K21  score: 27330.474609375
Method 1 K22  score: 27328.029296875
Method 1 K23  score: 27325.591796875
Method 1 K24  score: 27329.22265625
Method 1 K25  score: 27329.44140625
Method 1 K26  score: 27326.99609375
Method 1 K27  score: 27477.763671875
Method 1 K28  score: 27328.189453125
Method 1 K29  score: 27332.224609375
Method 1 K30  score: 27476.5703125
Method 1 K31  score: 27327.341796875
Method 1 K32  score: 27330.97265625
Method 1 K33  score: 27329.923828125
Method 1 K34  score: 27327.478515625
Method 1 K35  score: 27325.041015625
Method 1 K36  score: 27328.671875
Method 1 K37  score: 27332.70703125
Method 1 K38  score: 27330.26171875
Method 1 K39  score: 27327.82421875
Method 1 K40  score: 27331.455078125
Method 1 K41  score: 27331.53515625
Method 1 K42  score: 27329.08984375
Method 1 K43  score: 27326.65234375
Method 1 K44  score: 27330.283203125
Method 1 K45  score: 27330.984375
Method 1 K46  score: 27328.5390625
Method 1 K47  score: 27326.1015625
Method 1 K48  score: 27329.732421875
Method 1 K49  score: 27333.767578125
Method 1 K50  score: 27331.322265625
Method 1 K51  score: 27328.884765625
Method 1 K52  score: 27332.515625
Method 1 K53  score: 27330.73046875
Method 1 K54  score: 27328.28515625
Method 1 K55  score: 27325.84765625
Method 1 K56  score: 27329.478515625
Method 1 K57  score: 27330.1796875
Method 1 K58  score: 27327.734375
Method 1 K59  score: 27325.296875
Method 1 K60  score: 27328.927734375
Method 1 K61  score: 27332.962890625
Method 1 K62  score: 27330.517578125
Method 1 K63  score: 27328.080078125
Method 1 K64  score: 27331.7109375
Method 1 K65  score: 27330.14453125
Method 1 K66  score: 27327.69921875
Method 1 K67  score: 27325.26171875
Method 1 K68  score: 27328.892578125
Method 1 K69  score: 27330.626953125
Method 1 K70  score: 27328.181640625
