alternative encoding
Biop  RoBERTa

cosine
Method 1 K1  score: 6653.691081614972
Method 1 K2  score: 6653.659868237644
Method 1 K3  score: 6653.575543179113
Method 1 K4  score: 6654.094474940355
Method 1 K5  score: 6652.372136101722
Method 1 K6  score: 6653.769628252412
Method 1 K7  score: 6653.769400723155
Method 1 K8  score: 6653.60468413721
Method 1 K9  score: 6653.6427218602
Method 1 K10  score: 6654.074825940101
Method 1 K11  score: 6654.075238612038
Method 1 K12  score: 6652.387496515905
Method 1 K13  score: 6640.215173463258
Method 1 K14  score: 6640.23053387744
Method 2 K1  score: 17052.17424400295
Method 2 K2  score: 17052.13788413879
Method 2 K3  score: 17052.03951046397
Method 2 K4  score: 17052.645001321886
Method 2 K5  score: 17031.029557581547
Method 2 K6  score: 17052.265957758405
Method 2 K7  score: 17052.265668097138
Method 2 K8  score: 17052.073470669053
Method 2 K9  score: 17052.117831300908
Method 2 K10  score: 17052.622415251677
Method 2 K11  score: 17052.622630488047
Method 2 K12  score: 17031.051110293676
Method 2 K13  score: 17030.784324580392
Method 2 K14  score: 17030.80587729252
Method 3 K1  score: 19342.73462248505
Method 3 K2  score: 19342.86827110142
Method 3 K3  score: 19342.65890101919
Method 3 K4  score: 19342.988900667806
Method 3 K5  score: 19324.501870310225
Method 3 K6  score: 19342.713158603285
Method 3 K7  score: 19342.684847568184
Method 3 K8  score: 19342.706129271104
Method 3 K9  score: 19342.690659524073
Method 3 K10  score: 19343.09062001347
Method 3 K11  score: 19343.01378550188
Method 3 K12  score: 19324.506032482415
Method 3 K13  score: 19305.090699491968
Method 3 K14  score: 19305.094861664158
2 ----------------
Method 4 K1  score: 20362.02014263555
Method 4 K2  score: 20362.086649900033
Method 4 K3  score: 20362.043711428123
Method 4 K4  score: 20362.0478728901
Method 4 K5  score: 20344.458084777216
Method 4 K6  score: 20362.040142705755
Method 4 K7  score: 20362.031635820407
Method 4 K8  score: 20362.0627360754
Method 4 K9  score: 20362.055636076257
Method 4 K10  score: 20361.97250004398
Method 4 K11  score: 20362.03012050467
Method 4 K12  score: 20344.469903858957
Method 4 K13  score: 20324.765304813212
Method 4 K14  score: 20324.777123894954
3 ----------------
Method 4 K1  score: 20163.019041203155
Method 4 K2  score: 20163.082414988367
Method 4 K3  score: 20163.046473037775
Method 4 K4  score: 20163.03163793365
Method 4 K5  score: 20146.348444575327
Method 4 K6  score: 20163.04385703762
Method 4 K7  score: 20163.016302103555
Method 4 K8  score: 20163.07474460399
Method 4 K9  score: 20163.07142104766
Method 4 K10  score: 20163.365784100806
Method 4 K11  score: 20163.03737830712
Method 4 K12  score: 20146.39976045065
Method 4 K13  score: 20126.999252324633
Method 4 K14  score: 20127.050568199957
4 ----------------
Method 4 K1  score: 20024.3966664805
Method 4 K2  score: 20024.410777462628
Method 4 K3  score: 20024.42491909779
Method 4 K4  score: 20024.402252013424
