alternative encode
UOBM35  RoBERTa

cosine
Method 1 K1  score: 1360.2273930489962
Method 1 K2  score: 1357.7129419619557
Method 1 K3  score: 1137.414728873302
Method 1 K4  score: 1436.5346380638957
Method 1 K5  score: 1439.156618860847
Method 1 K6  score: 1436.6421677738067
Method 1 K7  score: 1360.2427428734975
Method 1 K8  score: 1436.5155815666526
Method 1 K9  score: 1439.60058244302
Method 1 K10  score: 1358.1378490468855
Method 1 K11  score: 1439.6349887647646
Method 1 K12  score: 1439.6349887647646
Method 1 K13  score: 1439.240483205833
Method 1 K14  score: 1439.240483205833
Method 1 K15  score: 1439.2748895275772
Method 1 K16  score: 1436.5994459116382
Method 2 K1  score: 4059.5807200492004
Method 2 K2  score: 4059.3307344669697
Method 2 K3  score: 4059.8696068554304
Method 2 K4  score: 4060.174915158085
Method 2 K5  score: 4060.5871462126365
Method 2 K6  score: 4060.337160630405
Method 2 K7  score: 4059.6183049082997
Method 2 K8  score: 4060.1395669727776
Method 2 K9  score: 4061.4892256880785
Method 2 K10  score: 4060.1974657571045
Method 2 K11  score: 4061.562158732486
Method 2 K12  score: 4061.562158732486
Method 2 K13  score: 4060.7503712875746
Method 2 K14  score: 4060.7503712875746
Method 2 K15  score: 4060.823304331981
Method 2 K16  score: 4060.3027920477157
Method 3 K1  score: 4475.100889093701
Method 3 K2  score: 4470.842980242642
Method 3 K3  score: 4100.907581816217
Method 3 K4  score: 4597.282544403806
Method 3 K5  score: 4601.357760910825
Method 3 K6  score: 4597.099852059765
Method 3 K7  score: 4474.3229930678
Method 3 K8  score: 4596.9408120111475
Method 3 K9  score: 4602.520410040362
Method 3 K10  score: 4471.663896979518
Method 3 K11  score: 4602.084246407118
Method 3 K12  score: 4602.084246407118
Method 3 K13  score: 4601.672387531086
Method 3 K14  score: 4601.672387531086
Method 3 K15  score: 4601.236223897844
Method 3 K16  score: 4597.255438631409
2 ----------------
Method 4 K1  score: 4580.395275551212
Method 4 K2  score: 4575.680657788322
Method 4 K3  score: 4204.801835001995
Method 4 K4  score: 4702.070270543019
Method 4 K5  score: 4706.7798781936435
Method 4 K6  score: 4702.0652604307525
Method 4 K7  score: 4579.629960430304
Method 4 K8  score: 4702.060605520211
Method 4 K9  score: 4707.988617942648
Method 4 K10  score: 4576.879732514517
Method 4 K11  score: 4707.2329678445485
Method 4 K12  score: 4707.2329678445485
Method 4 K13  score: 4706.870407306872
Method 4 K14  score: 4706.870407306872
Method 4 K15  score: 4706.114757208773
Method 4 K16  score: 4702.151134633439
3 ----------------
Method 4 K1  score: 4511.134463800273
Method 4 K2  score: 4506.135993578185
Method 4 K3  score: 4142.866778843796
Method 4 K4  score: 4629.434543743643
Method 4 K5  score: 4634.456376696183
Method 4 K6  score: 4629.457906474095
Method 4 K7  score: 4509.980165704575
Method 4 K8  score: 4629.414621230214
Method 4 K9  score: 4636.09378844293
