alternative encoding
UOBM38  SBERT

Cosine

Method 1 K1  score: 22201.36328125
Method 1 K2  score: 22199.12890625
Method 1 K3  score: 22204.8359375
Method 1 K4  score: 22198.17578125
Method 1 K5  score: 22200.5078125
Method 1 K6  score: 22198.26953125
Method 1 K7  score: 22203.9765625
Method 1 K8  score: 22197.31640625
Method 1 K9  score: 22489.6484375
Method 1 K10  score: 22487.4140625
Method 1 K11  score: 22493.1171875
Method 1 K12  score: 22617.099609375
Method 1 K13  score: 22208.31640625
Method 1 K14  score: 22206.08203125
Method 1 K15  score: 22211.78515625
Method 1 K16  score: 22205.12890625
Method 1 K17  score: 22205.12890625
Method 1 K18  score: 22193.12890625
Method 1 K19  score: 22198.83203125
Method 1 K20  score: 22192.171875
Method 1 K21  score: 22194.80078125
Method 1 K22  score: 22192.56640625
Method 1 K23  score: 22198.26953125
Method 1 K24  score: 22191.609375
Method 1 K25  score: 22194.50390625
Method 1 K26  score: 22192.26953125
Method 1 K27  score: 22197.97265625
Method 1 K28  score: 22191.3125
Method 1 K29  score: 22202.3125
Method 1 K30  score: 22200.078125
Method 1 K31  score: 22205.78515625
Method 1 K32  score: 22199.125
Method 1 K33  score: 22193.94140625
Method 1 K34  score: 22191.70703125
Method 1 K35  score: 22197.41015625
Method 1 K36  score: 22190.75
Method 1 K37  score: 22201.75390625
Method 1 K38  score: 22199.515625
Method 1 K39  score: 22205.22265625
Method 1 K40  score: 22198.5625
Method 1 K41  score: 22201.05078125
Method 1 K42  score: 22198.81640625
Method 1 K43  score: 22204.51953125
Method 1 K44  score: 22196.6875
Method 1 K45  score: 22200.19140625
Method 1 K46  score: 22197.95703125
Method 1 K47  score: 22203.66015625
Method 1 K48  score: 22197.00390625
Method 1 K49  score: 22208.00390625
Method 1 K50  score: 22205.76953125
Method 1 K51  score: 22211.47265625
Method 1 K52  score: 22204.8125
Method 1 K53  score: 22210.2265625
Method 1 K54  score: 22207.99609375
Method 1 K55  score: 22213.69921875
Method 1 K56  score: 22207.0390625
Method 1 K57  score: 22209.37109375
Method 1 K58  score: 22209.37109375
Method 1 K59  score: 22212.83984375
Method 1 K60  score: 22206.1796875
Method 1 K61  score: 22217.1796875
Method 1 K62  score: 22214.9453125
Method 1 K63  score: 22220.6484375
Method 1 K64  score: 22213.9921875
Method 1 K65  score: 22195.046875
Method 1 K66  score: 22192.8125
Method 1 K67  score: 22198.51953125
Method 1 K68  score: 22191.859375
Method 1 K69  score: 22194.484375
Method 1 K70  score: 22192.25
Method 1 K71  score: 22328.595703125
Method 1 K72  score: 22191.296875
Method 1 K73  score: 22194.19140625
Method 1 K74  score: 22322.591796875
Method 1 K75  score: 22197.66015625
Method 1 K76  score: 22191.0
Method 1 K77  score: 22202.0
Method 1 K78  score: 22199.765625
Method 1 K79  score: 22199.765625
Method 1 K80  score: 22198.8125
Method 1 K81  score: 22193.62890625
