UOBM35  ALBERT

cosine
Method 1 K1  score: 4037.8846532586244
Method 1 K2  score: 4037.6728711874794
Method 1 K3  score: 4038.0904632760567
Method 1 K4  score: 4037.460309571325
Method 1 K5  score: 4037.8242262775116
Method 1 K6  score: 4037.6124442063665
Method 1 K7  score: 4038.030036294944
Method 1 K8  score: 4037.399882590212
Method 1 K9  score: 4038.5534003053826
Method 1 K10  score: 4038.3416182342376
Method 1 K11  score: 4038.759210322815
Method 1 K12  score: 4038.759210322815
Method 1 K13  score: 4038.406889553191
Method 1 K14  score: 4038.406889553191
Method 1 K15  score: 4038.6126995706236
Method 1 K16  score: 4037.9825458658916
Method 2 K1  score: 4708.29599023552
Method 2 K2  score: 4703.98239650569
Method 2 K3  score: 4707.853599942218
Method 2 K4  score: 4703.824670603868
Method 2 K5  score: 4708.04638001016
Method 2 K6  score: 4703.73278628033
Method 2 K7  score: 4707.603989716858
Method 2 K8  score: 4703.575060378508
Method 2 K9  score: 4708.989425725075
Method 2 K10  score: 4704.675831995246
Method 2 K11  score: 4708.547035431774
Method 2 K12  score: 4708.547035431774
Method 2 K13  score: 4708.2770439852775
Method 2 K14  score: 4708.2770439852775
Method 2 K15  score: 4707.834653691976
Method 2 K16  score: 4703.805724353625

euclid
Method 1 K1  score: 2660.0537741457597
Method 1 K2  score: 2659.9805762859396
Method 1 K3  score: 2660.027883810575
Method 1 K4  score: 2659.927492376728
Method 1 K5  score: 2660.0472360852277
Method 1 K6  score: 2659.9740382254067
Method 1 K7  score: 2660.021345750043
Method 1 K8  score: 2659.920954316195
Method 1 K9  score: 2660.169540483411
Method 1 K10  score: 2660.09634262359
Method 1 K11  score: 2660.1436501482262
Method 1 K12  score: 2660.1436501482262
Method 1 K13  score: 2660.123785801656
Method 1 K14  score: 2660.123785801656
Method 1 K15  score: 2660.0978954664715
Method 1 K16  score: 2659.9975040326235
Method 2 K1  score: 3882.879082306936
Method 2 K2  score: 3880.2116289429737
Method 2 K3  score: 3882.078764006125
Method 2 K4  score: 3878.446335531699
Method 2 K5  score: 3881.079333613558
Method 2 K6  score: 3878.4118802495955
Method 2 K7  score: 3880.2790153127467
Method 2 K8  score: 3876.6465868383207
Method 2 K9  score: 3883.800938863508
Method 2 K10  score: 3881.1334854995453
Method 2 K11  score: 3883.0006205626964
Method 2 K12  score: 3883.0006205626964
Method 2 K13  score: 3881.4640837272186
Method 2 K14  score: 3881.4640837272186
Method 2 K15  score: 3880.6637654264073
Method 2 K16  score: 3877.0313369519804
