UOBM36

CoSERT  cosine
Method 1 K1  score: 9755.0126953125
Method 1 K2  score: 9754.1376953125
Method 1 K3  score: 9753.275390625
Method 1 K4  score: 9754.5673828125
Method 1 K5  score: 9754.8095703125
Method 1 K6  score: 9753.9345703125
Method 1 K7  score: 9753.072265625
Method 1 K8  score: 9754.3642578125
Method 1 K9  score: 9817.7060546875
Method 1 K10  score: 9816.8310546875
Method 1 K11  score: 9815.96875
Method 1 K12  score: 9817.2607421875
Method 1 K13  score: 9755.7783203125
Method 1 K14  score: 9754.9033203125
Method 1 K15  score: 9754.041015625
Method 1 K16  score: 9755.3330078125
Method 1 K17  score: 9754.5458984375
Method 1 K18  score: 9753.6708984375
Method 1 K19  score: 9752.80859375
Method 1 K20  score: 9754.1005859375
Method 1 K21  score: 9754.7177734375
Method 1 K22  score: 9753.8427734375
Method 1 K23  score: 9752.98046875
Method 1 K24  score: 9754.2724609375
Method 1 K25  score: 9754.34375
Method 1 K26  score: 9753.46875
Method 1 K27  score: 9752.6064453125
Method 1 K28  score: 9753.8984375
Method 1 K29  score: 9755.3115234375
Method 1 K30  score: 9754.4365234375
Method 1 K31  score: 9753.57421875
Method 1 K32  score: 9754.8662109375
Method 1 K33  score: 9754.515625
Method 1 K34  score: 9753.640625
Method 1 K35  score: 9752.7783203125
Method 1 K36  score: 9754.0703125
Method 1 K37  score: 9755.4833984375
Method 1 K38  score: 9754.6083984375
Method 1 K39  score: 9753.74609375
Method 1 K40  score: 9755.0380859375
Method 2 K1  score: 11475.4208984375
Method 2 K2  score: 11474.482421875
Method 2 K3  score: 11474.361328125
Method 2 K4  score: 11473.056640625
Method 2 K5  score: 11474.6748046875
Method 2 K6  score: 11473.734375
Method 2 K7  score: 11473.61328125
Method 2 K8  score: 11472.30859375
Method 2 K9  score: 11518.5322265625
Method 2 K10  score: 11517.591796875
Method 2 K11  score: 11517.470703125
Method 2 K12  score: 11516.166015625
Method 2 K13  score: 11475.4033203125
Method 2 K14  score: 11474.462890625
Method 2 K15  score: 11474.341796875
Method 2 K16  score: 11473.037109375
Method 2 K17  score: 11475.4384765625
Method 2 K18  score: 11474.5
Method 2 K19  score: 11474.37890625
Method 2 K20  score: 11473.07421875
Method 2 K21  score: 11474.7021484375
Method 2 K22  score: 11473.76171875
Method 2 K23  score: 11473.640625
Method 2 K24  score: 11472.3359375
Method 2 K25  score: 11474.6923828125
Method 2 K26  score: 11473.751953125
Method 2 K27  score: 11473.630859375
Method 2 K28  score: 11472.326171875
Method 2 K29  score: 11475.4208984375
Method 2 K30  score: 11474.48046875
Method 2 K31  score: 11474.359375
Method 2 K32  score: 11473.0546875
Method 2 K33  score: 11473.9541015625
Method 2 K34  score: 11473.015625
Method 2 K35  score: 11472.89453125
Method 2 K36  score: 11471.58984375
Method 2 K37  score: 11474.6826171875
Method 2 K38  score: 11473.744140625
Method 2 K39  score: 11473.623046875
Method 2 K40  score: 11472.318359375


euclid
Method 1 K1  score: 6625.38663137386
Method 1 K2  score: 6625.239090184663
Method 1 K3  score: 6625.1121654706785
Method 1 K4  score: 6625.285931687517
Method 1 K5  score: 6625.370441314752
Method 1 K6  score: 6625.222900125555
Method 1 K7  score: 6625.09597541157
Method 1 K8  score: 6625.269741628409
Method 1 K9  score: 6668.119322089565
Method 1 K10  score: 6667.971780900368
Method 1 K11  score: 6667.844856186383
Method 1 K12  score: 6668.018622403222
Method 1 K13  score: 6625.522280174235
Method 1 K14  score: 6625.374738985038
Method 1 K15  score: 6625.247814271053
Method 1 K16  score: 6625.421580487892
Method 1 K17  score: 6625.249934763557
Method 1 K18  score: 6625.10239357436
Method 1 K19  score: 6624.975468860375
Method 1 K20  score: 6625.149235077214
Method 1 K21  score: 6625.242413908597
Method 1 K22  score: 6625.0948727194
Method 1 K23  score: 6624.967948005416
Method 1 K24  score: 6625.141714222254
Method 1 K25  score: 6625.233744704448
Method 1 K26  score: 6625.086203515251
Method 1 K27  score: 6624.959278801267
Method 1 K28  score: 6625.133045018106
Method 1 K29  score: 6625.3855835639315
Method 1 K30  score: 6625.2380423747345
Method 1 K31  score: 6625.11111766075
Method 1 K32  score: 6625.284883877589
Method 1 K33  score: 6625.226223849489
Method 1 K34  score: 6625.078682660292
Method 1 K35  score: 6624.951757946307
Method 1 K36  score: 6625.125524163146
Method 1 K37  score: 6625.378062708972
Method 1 K38  score: 6625.230521519775
Method 1 K39  score: 6625.10359680579
Method 1 K40  score: 6625.277363022629
Method 2 K1  score: 9585.930009845477
Method 2 K2  score: 9587.569252851303
Method 2 K3  score: 9583.546858540454
Method 2 K4  score: 9582.908938858556
Method 2 K5  score: 9582.266186087223
Method 2 K6  score: 9583.905429093049
Method 2 K7  score: 9579.8830347822
Method 2 K8  score: 9579.245115100302
Method 2 K9  score: 9628.731765969012
Method 2 K10  score: 9630.371008974838
Method 2 K11  score: 9626.34861466399
Method 2 K12  score: 9625.710694982092
Method 2 K13  score: 9583.387415027779
Method 2 K14  score: 9585.026658033605
Method 2 K15  score: 9581.004263722756
Method 2 K16  score: 9580.366344040858
Method 2 K17  score: 9588.459668738458
Method 2 K18  score: 9590.098911744284
Method 2 K19  score: 9586.076517433436
Method 2 K20  score: 9585.438597751538
Method 2 K21  score: 9584.79219359548
Method 2 K22  score: 9586.431436601306
Method 2 K23  score: 9582.409042290457
Method 2 K24  score: 9581.77112260856
Method 2 K25  score: 9584.795844980203
Method 2 K26  score: 9586.435087986029
Method 2 K27  score: 9582.41269367518
Method 2 K28  score: 9581.774773993282
Method 2 K29  score: 9585.91707392076
Method 2 K30  score: 9587.556316926586
Method 2 K31  score: 9583.533922615738
Method 2 K32  score: 9582.89600293384
Method 2 K33  score: 9581.128369837226
Method 2 K34  score: 9582.767612843052
Method 2 K35  score: 9578.745218532204
Method 2 K36  score: 9578.107298850306
Method 2 K37  score: 9582.249598777782
Method 2 K38  score: 9583.888841783608
Method 2 K39  score: 9579.86644747276
Method 2 K40  score: 9579.228527790861
