Biop  RoBERTa

cosine
Method 1 K1  score: 15166.54699805091
Method 1 K2  score: 15166.479530369128
Method 1 K3  score: 15166.459895808679
Method 1 K4  score: 15166.778884626185
Method 1 K5  score: 15146.874689206707
Method 1 K6  score: 15166.585748617998
Method 1 K7  score: 15166.577810899302
Method 1 K8  score: 15166.476053585433
Method 1 K9  score: 15166.51055745339
Method 1 K10  score: 15166.78294903455
Method 1 K11  score: 15166.78576054569
Method 1 K12  score: 15146.882504023959
Method 1 K13  score: 15146.79478484403
Method 1 K14  score: 15146.802599661283
Method 2 K1  score: 17410.498614068132
Method 2 K2  score: 17410.815764092644
Method 2 K3  score: 17410.44113927824
Method 2 K4  score: 17410.713875718855
Method 2 K5  score: 17391.279970357806
Method 2 K6  score: 17410.460075774543
Method 2 K7  score: 17410.438363008016
Method 2 K8  score: 17410.558195590063
Method 2 K9  score: 17410.501665317854
Method 2 K10  score: 17409.98162476198
Method 2 K11  score: 17410.75967376748
Method 2 K12  score: 17391.28469477036
Method 2 K13  score: 17372.882877079348
Method 2 K14  score: 17372.8876014919

euclid
Method 1 K1  score: 15166.54699805091
Method 1 K2  score: 15166.479530369128
Method 1 K3  score: 15166.459895808679
Method 1 K4  score: 15166.778884626185
Method 1 K5  score: 15146.874689206707
Method 1 K6  score: 15166.585748617998
Method 1 K7  score: 15166.577810899302
Method 1 K8  score: 15166.476053585433
Method 1 K9  score: 15166.51055745339
Method 1 K10  score: 15166.78294903455
Method 1 K11  score: 15166.78576054569
Method 1 K12  score: 15146.882504023959
Method 1 K13  score: 15146.79478484403
Method 1 K14  score: 15146.802599661283
Method 2 K1  score: 17410.498614068132
Method 2 K2  score: 17410.815764092644
Method 2 K3  score: 17410.44113927824
Method 2 K4  score: 17410.713875718855
Method 2 K5  score: 17391.279970357806
Method 2 K6  score: 17410.460075774543
Method 2 K7  score: 17410.438363008016
Method 2 K8  score: 17410.558195590063
Method 2 K9  score: 17410.501665317854
Method 2 K10  score: 17409.98162476198
Method 2 K11  score: 17410.75967376748
Method 2 K12  score: 17391.28469477036
Method 2 K13  score: 17372.882877079348
Method 2 K14  score: 17372.8876014919
