UOBM37  RoBERTa

cosine
Method 1 K1  score: 28237.177751790645
Method 1 K2  score: 28235.540296441453
Method 1 K3  score: 28237.735969299792
Method 1 K4  score: 28234.34645588015
Method 1 K5  score: 28236.963174262964
Method 1 K6  score: 28235.325718913773
Method 1 K7  score: 28237.521391772112
Method 1 K8  score: 28234.13187835247
Method 1 K9  score: 28603.35320453108
Method 1 K10  score: 28601.715749181887
Method 1 K11  score: 28603.911422040226
Method 1 K12  score: 28600.521908620583
Method 1 K13  score: 28238.100291689152
Method 1 K14  score: 28236.46283633996
Method 1 K15  score: 28238.6585091983
Method 1 K16  score: 28235.268995778657
Method 1 K17  score: 28236.92664539937
Method 1 K18  score: 28235.289190050178
Method 1 K19  score: 28237.484862908517
Method 1 K20  score: 28234.095349488874
Method 1 K21  score: 28236.804691358957
Method 1 K22  score: 28235.167236009765
Method 1 K23  score: 28237.362908868105
Method 1 K24  score: 28233.97339544846
Method 1 K25  score: 28236.71206787169
Method 1 K26  score: 28235.074612522498
Method 1 K27  score: 28408.574154634392
Method 1 K28  score: 28233.880771961194
Method 1 K29  score: 28237.849185297877
Method 1 K30  score: 28409.767995195696
Method 1 K31  score: 28238.407402807024
Method 1 K32  score: 28235.01788938738
Method 1 K33  score: 28236.590113831277
Method 1 K34  score: 28234.952658482085
Method 1 K35  score: 28237.148331340424
Method 1 K36  score: 28233.75881792078
Method 1 K37  score: 28237.727231257464
Method 1 K38  score: 28236.089775908273
Method 1 K39  score: 28238.28544876661
Method 1 K40  score: 28234.89593534697
Method 1 K41  score: 28237.299401210148
Method 1 K42  score: 28235.661945860957
Method 1 K43  score: 28237.857618719296
Method 1 K44  score: 28234.468105299653
Method 1 K45  score: 28237.084823682468
Method 1 K46  score: 28235.447368333276
Method 1 K47  score: 28237.643041191615
Method 1 K48  score: 28234.253527771973
Method 1 K49  score: 28238.221941108655
Method 1 K50  score: 28236.584485759464
Method 1 K51  score: 28238.780158617803
Method 1 K52  score: 28235.39064519816
Method 1 K53  score: 28237.541868551518
Method 1 K54  score: 28235.904413202326
Method 1 K55  score: 28238.100086060665
Method 1 K56  score: 28234.710572641023
Method 1 K57  score: 28237.327291023837
Method 1 K58  score: 28235.689835674646
Method 1 K59  score: 28237.885508532985
Method 1 K60  score: 28234.495995113342
Method 1 K61  score: 28238.464408450025
Method 1 K62  score: 28236.826953100834
Method 1 K63  score: 28239.022625959173
Method 1 K64  score: 28235.63311253953
Method 1 K65  score: 28237.048294818873
Method 1 K66  score: 28235.41083946968
Method 1 K67  score: 28237.60651232802
Method 1 K68  score: 28234.216998908378
Method 1 K69  score: 28236.92634077846
Method 1 K70  score: 28235.28888542927
Method 1 K71  score: 28237.484558287608
Method 1 K72  score: 28234.095044867965
Method 1 K73  score: 28236.833717291192
Method 1 K74  score: 28235.196261942
Method 1 K75  score: 28237.39193480034
Method 1 K76  score: 28234.002421380697
